rel_err_weights,rel_err_clauses,time
0.3151843957889298,0.09859154929577464,3.70080135401804
0.5393627504653454,0.14084507042253522,6.119035688054282
0.3598308638227882,0.028169014084507043,4.758500394003931
0.4792347926014179,0.22535211267605634,4.771380910999142
0.33774834437086093,0.08450704225352113,6.5020245559862815
0.1642420364795838,0.1267605633802817,6.439716441032942
0.3701455844505051,0.07042253521126761,3.9132623220211826
0.4084081224557812,0.15492957746478872,6.046589198987931
0.59389466155405,0.1267605633802817,3.858396361989435
0.547957241177332,0.15492957746478872,3.783885766984895
0.3462888665997994,0.14084507042253522,4.489383705018554
0.5715188159913365,0.08450704225352113,4.839677869051229
