total_iter,weights_sum,is_sat_clauses
454,14812,71
455,14812,71
456,14812,71
457,14812,71
458,14812,71
459,14812,71
460,14812,71
461,14812,71
462,14812,71
463,14812,71
464,14812,71
465,14812,71
466,14812,71
467,14812,71
468,14812,71
469,14812,71
470,14812,71
471,14812,71
472,14812,71
473,14812,71
474,14812,71
475,14812,71
476,14812,71
477,14812,71
478,14812,71
479,14812,71
480,14812,71
481,14812,71
482,14812,71
483,14812,71
484,14812,71
485,14812,71
486,14812,71
487,14812,71
488,14812,71
489,14812,71
490,14812,71
491,14812,71
492,14812,71
493,14812,71
494,14812,71
495,14812,71
496,14812,71
497,14812,71
498,14812,71
499,14812,71
500,14812,71
501,14812,71
502,14812,71
503,14812,71
504,14812,71
505,14812,71
506,14812,71
507,14812,71
508,14812,71
509,14812,71
510,14812,71
511,14812,71
512,14812,71
513,14812,71
514,14812,71
515,14812,71
516,14812,71
517,14812,71
518,14812,71
519,14812,71
520,14812,71
521,14812,71
522,14812,71
523,14812,71
524,14812,71
525,14812,71
526,14812,71
527,14812,71
528,14812,71
529,14812,71
530,14812,71
531,14812,71
532,14812,71
533,14812,71
534,14812,71
535,14812,71
536,14812,71
537,14812,71
538,14812,71
539,14812,71
540,14812,71
541,14812,71
542,14812,71
543,14812,71
544,14812,71
545,14812,71
546,14812,71
547,14812,71
548,14812,71
549,14812,71
550,14812,71
551,14812,71
552,14812,71
553,14812,71
554,14812,71
555,14812,71
556,14812,71
557,14812,71
558,14812,71
559,14812,71
560,14812,71
561,14812,71
562,14812,71
563,14812,71
564,14812,71
565,14812,71
566,14812,71
567,14812,71
568,14812,71
569,14812,71
570,14812,71
571,14812,71
572,14812,71
573,14812,71
574,14812,71
575,14812,71
576,14812,71
577,14812,71
578,14812,71
579,14812,71
580,14812,71
581,14812,71
582,14812,71
583,14812,71
584,14812,71
585,14812,71
586,14812,71
587,14812,71
588,14812,71
589,14812,71
590,14812,71
591,14812,71
592,14812,71
593,14812,71
594,14812,71
595,14812,71
596,14812,71
597,14812,71
598,14812,71
599,14812,71
600,14812,71
601,14812,71
602,14812,71
603,14812,71
604,14812,71
605,14812,71
606,14812,71
607,14812,71
608,14812,71
609,14812,71
610,14812,71
611,14812,71
612,14812,71
613,14812,71
614,14812,71
615,14812,71
616,14812,71
617,14812,71
618,14812,71
619,14812,71
620,14812,71
621,14812,71
622,14812,71
623,14812,71
624,14812,71
625,14812,71
626,14812,71
627,14812,71
628,14812,71
629,14812,71
630,14812,71
631,14812,71
632,14812,71
633,14812,71
634,14812,71
635,14812,71
636,14812,71
637,14812,71
638,14812,71
639,14812,71
640,14812,71
641,14812,71
642,14812,71
643,14812,71
644,14812,71
645,14812,71
646,14812,71
647,14812,71
648,14812,71
649,14812,71
650,14812,71
651,14812,71
652,14812,71
653,14812,71
654,14812,71
655,14812,71
656,14812,71
657,14812,71
658,14812,71
659,14812,71
660,14812,71
661,14812,71
662,14812,71
663,14812,71
664,14812,71
665,14812,71
666,14812,71
667,14812,71
668,14812,71
669,14812,71
670,14812,71
671,14970,71
672,14970,71
673,14970,71
674,14970,71
675,14970,71
676,14970,71
677,14970,71
678,14970,71
679,14970,71
680,14970,71
681,14970,71
682,14970,71
683,14970,71
684,14970,71
685,14970,71
686,14970,71
687,14970,71
688,14970,71
689,14970,71
690,14970,71
691,14970,71
692,14970,71
693,14970,71
694,14970,71
695,14970,71
696,14970,71
697,14970,71
698,14970,71
699,14970,71
700,14970,71
701,14970,71
702,14970,71
703,14970,71
704,14970,71
705,14970,71
706,14970,71
707,14970,71
708,14970,71
709,14970,71
710,14970,71
711,14970,71
712,14970,71
713,14970,71
714,14970,71
715,14970,71
716,14970,71
717,14970,71
718,14970,71
719,14970,71
720,14970,71
721,14970,71
722,14970,71
723,14970,71
724,14970,71
725,14970,71
726,14970,71
727,14970,71
728,14970,71
729,14970,71
730,14970,71
731,14970,71
732,14970,71
733,14970,71
734,15483,71
735,15483,71
736,15483,71
737,15483,71
738,15483,71
739,15483,71
740,15483,71
741,15483,71
742,15483,71
743,15483,71
744,15483,71
745,15483,71
746,15483,71
747,15483,71
748,15483,71
749,15483,71
750,15483,71
751,15483,71
752,15483,71
753,15483,71
754,15483,71
755,15483,71
756,15483,71
757,15483,71
758,15483,71
759,15483,71
760,15483,71
761,15483,71
762,15483,71
763,15483,71
764,15483,71
765,15483,71
766,15483,71
767,15483,71
768,15483,71
769,15483,71
770,15483,71
771,15483,71
772,15483,71
773,15483,71
774,15483,71
775,15483,71
776,15483,71
777,15483,71
778,15483,71
779,15483,71
780,15483,71
781,15483,71
782,15483,71
783,15483,71
784,15483,71
785,15483,71
786,15483,71
787,15483,71
788,15483,71
789,15483,71
790,15483,71
791,15483,71
792,15483,71
793,15483,71
794,15483,71
795,15483,71
796,15483,71
797,15483,71
798,15483,71
799,15483,71
800,15483,71
801,15483,71
802,15483,71
803,15483,71
804,15483,71
805,15483,71
806,15483,71
807,15483,71
808,15483,71
809,15483,71
810,15483,71
811,15483,71
812,15483,71
813,15483,71
814,15483,71
815,15483,71
816,15483,71
817,15483,71
818,15483,71
819,15483,71
820,15483,71
821,15483,71
822,15483,71
823,15483,71
824,15483,71
825,15483,71
826,15483,71
827,15483,71
828,15483,71
829,15483,71
830,15483,71
831,15483,71
832,15483,71
833,15483,71
834,15483,71
835,15483,71
836,15483,71
837,15483,71
838,15483,71
839,15483,71
840,15483,71
841,15483,71
842,15483,71
843,15483,71
844,15483,71
845,15483,71
846,15483,71
847,15483,71
848,15483,71
849,15483,71
850,15483,71
851,15483,71
852,15483,71
853,15483,71
854,15483,71
855,15483,71
856,15483,71
857,15483,71
858,15483,71
859,15483,71
860,15483,71
861,15483,71
862,15483,71
863,15483,71
864,15483,71
865,15483,71
866,15483,71
867,15483,71
868,15483,71
869,15483,71
870,15483,71
871,15483,71
872,15483,71
873,15483,71
874,15483,71
875,15483,71
876,15483,71
877,15483,71
878,15483,71
879,15483,71
880,15483,71
881,15483,71
882,15483,71
883,15483,71
884,15483,71
885,15483,71
886,15483,71
887,15483,71
888,15483,71
889,15483,71
890,15483,71
891,15483,71
892,15483,71
893,15483,71
894,15483,71
895,15483,71
896,15483,71
897,15483,71
898,15483,71
899,15483,71
900,15483,71
901,15483,71
902,15483,71
903,15483,71
904,15483,71
905,15483,71
906,15483,71
907,15483,71
908,15483,71
909,15483,71
910,15483,71
911,15483,71
912,15483,71
913,15483,71
914,15483,71
915,15483,71
916,15483,71
917,15483,71
918,15483,71
919,15483,71
920,15483,71
921,15483,71
922,15483,71
923,15483,71
924,15483,71
925,15483,71
926,15483,71
927,15483,71
928,15483,71
929,15483,71
930,15483,71
931,15483,71
932,15483,71
933,15483,71
934,15483,71
935,15483,71
936,15483,71
937,15483,71
938,15483,71
939,15483,71
940,15483,71
941,15483,71
942,15483,71
943,15483,71
944,15483,71
945,15483,71
946,15483,71
947,15483,71
948,15483,71
949,15483,71
950,15483,71
951,15483,71
952,15483,71
953,15483,71
954,15483,71
955,15483,71
956,15483,71
957,15483,71
958,15483,71
959,15483,71
960,15483,71
961,15483,71
962,15483,71
963,15483,71
964,15483,71
965,15483,71
966,15483,71
967,15483,71
968,15483,71
969,15483,71
970,15483,71
971,15483,71
972,15483,71
973,15483,71
974,15483,71
975,15483,71
976,15483,71
977,15483,71
978,15483,71
979,15483,71
980,15483,71
981,15483,71
982,15483,71
983,15483,71
984,15483,71
985,15483,71
986,15483,71
987,15483,71
988,15483,71
989,15483,71
990,15483,71
991,15483,71
992,15483,71
993,15483,71
994,15483,71
995,15483,71
996,15483,71
997,15483,71
998,15483,71
999,15483,71
1000,15483,71
1001,15483,71
1002,15483,71
1003,15483,71
1004,15483,71
1005,15483,71
1006,15483,71
1007,15483,71
1008,15483,71
1009,15483,71
1010,15483,71
1011,15483,71
1012,15483,71
1013,15483,71
1014,15483,71
1015,15483,71
1016,15483,71
1017,15483,71
1018,15483,71
1019,15483,71
1020,15483,71
1021,15483,71
1022,15483,71
1023,15483,71
1024,15483,71
1025,15483,71
1026,15483,71
1027,15483,71
1028,15483,71
1029,15483,71
