1900 1841 1824 91 91 83
1600 1593 1593 91 91 84
2000 1964 1913 91 91 70
2200 2196 2161 91 91 81
1700 1699 1696 91 91 75
2000 1956 1913 91 91 81
2000 1925 1912 91 91 76
2100 2098 2098 91 91 84
1700 1649 1649 91 91 76
2300 2293 2273 91 91 83
2300 2257 2211 91 91 80
2100 2079 2070 91 91 78
1300 1298 1293 91 91 79
1600 1598 1578 91 91 82
1500 1498 1476 91 91 77
1600 1598 1577 91 91 79
1600 1599 1599 91 91 81
1800 1786 1784 91 91 73
2300 2288 2279 91 91 84
2100 2011 2011 91 91 78
1900 1886 1875 91 91 80
3100 2241 2037 90 91 70
1900 1898 1898 91 91 79
1900 1894 1887 91 91 77
1800 1785 1785 91 91 81
1200 1199 1192 91 91 79
1400 1398 1393 91 91 84
1800 1798 1762 91 91 77
1700 1699 1670 91 91 68
1600 1599 1593 91 91 79
1800 1798 1764 91 91 82
1500 1497 1484 91 91 73
1800 1797 1772 91 91 67
2300 2266 2257 91 91 86
2100 2093 2056 91 91 80
1900 1899 1818 91 91 84
2000 1943 1904 91 91 84
2100 2094 2073 91 91 80
1600 1596 1592 91 91 78
1600 1586 1582 91 91 81
1500 1498 1498 91 91 81
1400 1399 1395 91 91 80
2100 2052 2052 91 91 79
2200 2197 2184 91 91 80
1000 996 996 91 91 79
2900 2876 2857 91 91 77
2100 2049 2020 91 91 78
1300 1298 1298 91 91 72
1900 1891 1888 91 91 81
1400 1396 1383 91 91 79
1600 1596 1596 91 91 84
3100 2239 2066 90 91 82
1900 1884 1880 91 91 77
2100 2009 2009 91 91 83
2000 1999 1980 91 91 84
1500 1498 1491 91 91 79
1900 1897 1895 91 91 77
1900 1884 1856 91 91 83
1800 1793 1759 91 91 84
1500 1499 1499 91 91 81
1400 1399 1398 91 91 75
1700 1695 1672 91 91 82
1900 1884 1860 91 91 87
1800 1793 1786 91 91 74
3100 2342 2065 90 91 83
2300 2298 2272 91 91 80
2800 2783 2781 91 91 78
1500 1497 1488 91 91 76
2100 2078 2078 91 91 73
1800 1792 1776 91 91 78
1100 1099 1098 91 91 82
1500 1499 1493 91 91 80
1700 1695 1687 91 91 84
1600 1598 1598 91 91 83
2000 1948 1925 91 91 79
1900 1861 1861 91 91 84
1800 1780 1773 91 91 83
1500 1499 1493 91 91 80
1700 1686 1682 91 91 78
1600 1599 1588 91 91 80
2500 2498 2412 91 91 75
1200 1198 1193 91 91 82
1800 1799 1792 91 91 80
2000 1996 1996 91 91 74
3000 2030 1996 90 91 76
1700 1695 1695 91 91 77
1400 1396 1396 91 91 72
1900 1879 1879 91 91 83
3100 2235 2062 90 91 81
1600 1599 1586 91 91 75
2000 1960 1960 91 91 85
2400 2370 2333 91 91 80
3200 2160 2156 90 91 77
1600 1594 1588 91 91 82
1500 1495 1493 91 91 75
1400 1399 1378 91 91 73
2000 1977 1960 91 91 83
1100 1099 1098 91 91 80
1700 1692 1691 91 91 81
1800 1798 1798 91 91 85
2000 1991 1930 91 91 79
1100 1095 1093 91 91 81
1100 1099 1093 91 91 82
1900 1895 1862 91 91 83
2100 2071 2055 91 91 83
1700 1698 1697 91 91 82
2400 2374 2346 91 91 73
2100 2009 2009 91 91 71
1700 1693 1688 91 91 77
800 799 797 91 91 85
1800 1785 1764 91 91 77
1300 1299 1297 91 91 80
1500 1499 1483 91 91 81
2000 1992 1973 91 91 80
1600 1599 1594 91 91 76
1400 1399 1398 91 91 81
1800 1776 1739 91 91 79
1500 1499 1430 91 91 78
2300 2231 2218 91 91 83
2100 2077 2047 91 91 83
1700 1690 1675 91 91 75
1900 1899 1898 91 91 80
1600 1599 1590 91 91 83
1700 1682 1682 91 91 80
2200 2196 2133 91 91 79
1600 1597 1588 91 91 79
1700 1679 1676 91 91 79
1600 1592 1590 91 91 80
1500 1497 1496 91 91 81
1800 1786 1721 91 91 81
1900 1822 1822 91 91 82
1500 1499 1488 91 91 78
2000 1988 1978 91 91 76
1800 1799 1782 91 91 81
2200 2193 2123 91 91 87
1500 1497 1482 91 91 75
1700 1695 1692 91 91 76
500 499 499 91 91 75
1900 1896 1891 91 91 79
1900 1891 1814 91 91 79
1500 1498 1489 91 91 78
1100 1099 1096 91 91 83
2200 2109 2109 91 91 79
1500 1499 1499 91 91 80
2100 2097 2015 91 91 84
2200 2189 2189 91 91 81
600 599 597 91 91 79
1800 1776 1769 91 91 81
1800 1782 1778 91 91 80
1900 1884 1861 91 91 74
1300 1298 1296 91 91 85
2100 2099 2083 91 91 81
1200 1198 1196 91 91 78
1900 1845 1814 91 91 71
2000 1912 1909 91 91 83
1500 1497 1478 91 91 78
1500 1499 1491 91 91 80
1400 1399 1399 91 91 80
2000 1978 1922 91 91 81
900 899 899 91 91 78
3100 2168 2041 90 91 77
2200 2198 2162 91 91 75
2500 2434 2434 91 91 76
1800 1799 1730 91 91 79
