total_iter,weights_sum,is_sat_clauses
397,14438,71
398,14438,71
399,14438,71
400,14438,71
401,14438,71
402,14438,71
403,14438,71
404,14438,71
405,14438,71
406,14438,71
407,14438,71
408,14438,71
409,14438,71
410,14438,71
411,14438,71
412,14438,71
413,14438,71
414,14438,71
415,14438,71
416,14438,71
417,14438,71
418,14438,71
419,14438,71
420,14438,71
421,14438,71
422,14438,71
423,14438,71
424,14438,71
425,14438,71
426,14438,71
427,14438,71
428,14438,71
429,14438,71
430,14438,71
431,14438,71
432,14438,71
433,14438,71
434,14438,71
435,14438,71
436,14438,71
437,14438,71
438,14438,71
439,14438,71
440,14438,71
441,14438,71
442,14438,71
443,14438,71
444,14438,71
445,14438,71
446,14438,71
447,14438,71
448,14438,71
449,14438,71
450,14438,71
451,14438,71
452,14438,71
453,14438,71
454,14438,71
455,14438,71
456,14438,71
457,14438,71
458,14438,71
459,14438,71
460,14438,71
461,14438,71
462,14438,71
463,14438,71
464,14438,71
465,14438,71
466,14438,71
467,14438,71
468,14438,71
469,14438,71
470,14438,71
471,14438,71
472,14438,71
473,14438,71
474,14438,71
475,14438,71
476,14438,71
477,14438,71
478,14438,71
479,14438,71
480,14438,71
481,14438,71
482,14438,71
483,14438,71
484,14438,71
485,14438,71
486,14438,71
487,14438,71
488,14438,71
489,14438,71
490,14438,71
491,14438,71
492,14438,71
493,14438,71
494,14438,71
495,14438,71
496,14438,71
497,14438,71
498,14438,71
499,14438,71
500,14438,71
501,14438,71
502,14438,71
503,14438,71
504,14438,71
505,14438,71
506,14438,71
507,14438,71
508,14438,71
509,14438,71
510,14438,71
511,14438,71
512,14438,71
513,14438,71
514,14438,71
515,14438,71
516,14438,71
517,14438,71
518,14438,71
519,14438,71
520,14438,71
521,14438,71
522,14438,71
523,14438,71
524,14438,71
525,14438,71
526,14438,71
527,14438,71
528,14438,71
529,14438,71
530,14438,71
531,14438,71
532,14438,71
533,14438,71
534,14438,71
535,14438,71
536,14438,71
537,14438,71
538,14438,71
539,14438,71
540,14438,71
541,14438,71
542,14438,71
543,14438,71
544,14438,71
545,14438,71
546,14438,71
547,14438,71
548,14438,71
549,14438,71
550,14438,71
551,14438,71
552,14438,71
553,14438,71
554,14438,71
555,14438,71
556,14438,71
557,14438,71
558,14438,71
559,14438,71
560,14438,71
561,14438,71
562,14438,71
563,14438,71
564,14438,71
565,14438,71
566,14438,71
567,14438,71
568,14438,71
569,14438,71
570,14438,71
571,14438,71
572,14438,71
573,14438,71
574,14438,71
575,14438,71
576,14438,71
577,14438,71
578,14438,71
579,14438,71
580,14438,71
581,14438,71
582,14438,71
583,14438,71
584,14438,71
585,14438,71
586,14438,71
587,14438,71
588,14438,71
589,14438,71
590,14438,71
591,14438,71
592,14438,71
593,14438,71
594,14438,71
595,14438,71
596,14438,71
597,14438,71
598,14438,71
599,14438,71
600,14438,71
601,14438,71
602,14438,71
603,14438,71
604,14438,71
605,14438,71
606,14438,71
607,14438,71
608,14438,71
609,14438,71
610,14438,71
611,14438,71
612,14699,71
613,14699,71
614,14699,71
615,14699,71
616,14699,71
617,14699,71
618,14699,71
619,14699,71
620,14699,71
621,14699,71
622,14699,71
623,14699,71
624,14699,71
625,14699,71
626,14699,71
627,14699,71
628,14699,71
629,14699,71
630,14699,71
631,14699,71
632,14699,71
633,14699,71
634,14699,71
635,14699,71
636,14699,71
637,14699,71
638,14699,71
639,14699,71
640,14699,71
641,14699,71
642,14699,71
643,14699,71
644,14699,71
645,14699,71
646,14699,71
647,14699,71
648,14699,71
649,14941,71
650,14941,71
651,14941,71
652,14941,71
653,14941,71
654,14941,71
655,14941,71
656,14941,71
657,14941,71
658,14941,71
659,14941,71
660,14941,71
661,14941,71
662,14941,71
663,14941,71
664,14941,71
665,14941,71
666,14941,71
667,14941,71
668,14941,71
669,14941,71
670,14941,71
671,14941,71
672,14941,71
673,14941,71
674,14941,71
675,14941,71
676,14941,71
677,14941,71
678,14941,71
679,14941,71
680,14941,71
681,14941,71
682,14941,71
683,14941,71
684,14941,71
685,14941,71
686,14941,71
687,14941,71
688,14941,71
689,14941,71
690,14941,71
691,14941,71
692,14941,71
693,14941,71
694,14941,71
695,14941,71
696,14941,71
697,14941,71
698,14941,71
699,14941,71
700,14941,71
701,14941,71
702,14941,71
703,14941,71
704,14941,71
705,14941,71
706,14941,71
707,14941,71
708,14941,71
709,14941,71
710,14941,71
711,14941,71
712,14941,71
713,14941,71
714,14941,71
715,14941,71
716,14941,71
717,14941,71
718,14941,71
719,14941,71
720,14941,71
721,14941,71
722,14941,71
723,14941,71
724,14941,71
725,14941,71
726,14941,71
727,14941,71
728,14941,71
729,14941,71
730,14941,71
731,14941,71
732,14941,71
733,14941,71
734,14941,71
735,14941,71
736,14941,71
737,14941,71
738,14941,71
739,14941,71
740,14941,71
741,14941,71
