inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf50-460,919.0,1050.911,3000,3237.911,6.4117190421599695,1.455771741249086
ruf50-870,888.0,1100.097,3000,4124.097,6.506772093121063,1.2332564756627533
ruf50-120,686.0,1654.242,3000,10132.242,6.863121770687848,1.7762162615106614
ruf50-134,894.0,1118.903,3000,3980.903,6.526108610409244,1.2726286443092292
ruf50-705,991.0,338.413,3000,581.413,4.940633803236408,1.6267034618115968
ruf50-817,711.0,1640.184,3000,9443.184,6.99385763223977,1.2174769234867706
ruf50-188,728.0,1544.528,3000,8888.528,6.830839643038455,1.5458215725778148
ruf50-709,642.0,1787.902,3000,11453.902,7.051183680058232,1.4184917936150567
ruf50-493,969.0,813.21,3000,1650.21,6.206621577036201,1.2209522481021733
ruf50-983,998.0,420.409,3000,474.409,5.625338517540206,0.9103732214609233
ruf50-205,837.0,1386.372,3000,5787.372,6.835441861350398,1.0944327136703076
ruf50-939,976.0,482.898,3000,1130.898,5.435479538405457,1.4639937205175986
ruf50-18,731.0,1470.135,3000,8733.135,6.702027499443167,1.7565376952828622
ruf50-583,999.0,334.593,3000,361.593,5.329526943116051,1.017712093941727
ruf50-13,569.0,1709.454,3000,13346.454,6.8656444309822575,1.7814475877970501
ruf50-495,1000.0,363.115,3000,363.115,5.518703813213521,0.8406239945111065
ruf50-194,477.0,2145.787,3000,16266.787,7.34939145481971,1.120258274465077
ruf50-259,974.0,596.534,3000,1298.534,5.736546402923497,1.3996350813984746
ruf50-141,996.0,497.027,3000,605.027,5.713072760312047,1.1249794442594832
ruf50-982,882.0,1324.091,3000,4510.091,6.808738172824218,1.0286000008364236
ruf50-21,557.0,2001.067,3000,13962.067,7.286329281048431,1.0136540377608732
ruf50-978,1000.0,118.039,3000,118.039,4.461477223344715,0.5648255154104972
ruf50-945,993.0,487.859,3000,676.859,5.569996510177334,1.3689586534580898
ruf50-994,933.0,807.779,3000,2616.779,6.095894527595485,1.3283750948656676
ruf50-284,1000.0,223.465,3000,223.465,4.9401585922094196,0.9351322878994736
ruf50-326,906.0,844.197,3000,3382.197,5.949298876749793,1.8649077214033607
ruf50-512,411.0,2262.708,3000,18165.708,7.42725627326503,1.0776362285197376
ruf50-459,984.0,540.689,3000,972.689,5.633151018057326,1.469649695998632
ruf50-844,837.0,1292.176,3000,5693.176,6.601838577101034,1.60037449298305
ruf50-683,988.0,687.033,3000,1011.033,6.092956134232044,0.988954493854587
ruf50-927,689.0,1710.891,3000,10107.891,7.045279353999174,1.218089850726201
ruf50-346,985.0,495.191,3000,900.191,5.706164749334509,1.034150022258785
ruf50-446,651.0,1731.488,3000,11154.488,7.004510137414232,1.4111571888007695
ruf50-729,888.0,1086.562,3000,4110.562,6.481146949439136,1.2984123689298628
ruf50-9,539.0,1833.925,3000,14280.925,7.101485759650024,1.2172744252851173
ruf50-227,711.0,1501.055,3000,9304.055,6.850718912904969,1.2693611697528702
ruf50-51,993.0,377.252,3000,566.252,5.397623948891903,1.0698386311675023
ruf50-781,997.0,334.094,3000,415.094,5.271006448443849,1.0660815479373322
ruf50-598,999.0,378.633,3000,405.633,5.420369873492443,1.1088711072066078
ruf50-66,905.0,972.123,3000,3537.123,6.23512658404195,1.6097666211871098
ruf50-291,643.0,1683.834,3000,11322.834,6.925816028807231,1.5094072249062405
ruf50-843,942.0,861.265,3000,2427.265,6.201344725713882,1.3312904102289134
ruf50-640,592.0,1910.479,3000,12926.479,7.146154118709462,1.3721724059132088
ruf50-143,883.0,1017.671,3000,4176.671,6.357838047781708,1.4368400399588548
ruf50-567,1000.0,149.226,3000,149.226,4.655668308297829,0.6684394901342438
ruf50-737,997.0,483.682,3000,564.682,5.679594127249069,1.1155655403135274
ruf50-403,997.0,443.393,3000,524.393,5.623313891045149,0.9830836284535479
ruf50-383,988.0,544.391,3000,868.391,5.714935380749879,1.249050728889864
ruf50-353,852.0,1200.149,3000,5196.149,6.5645215257936345,1.3863990913311008
ruf50-768,997.0,334.559,3000,415.559,5.14879594098031,1.283545581374638
ruf50-381,999.0,251.989,3000,278.989,5.090984628437844,0.8471334164484087
ruf50-416,749.0,1565.426,3000,8342.426,6.931267279065149,1.1978592301594437
ruf50-312,833.0,1410.502,3000,5919.502,6.78485658613606,1.374287456260133
ruf50-101,830.0,1304.338,3000,5894.338,6.660652325597469,1.3985510820702685
ruf50-777,1000.0,242.56,3000,242.56,4.976913682598354,1.0258797414408993
ruf50-910,802.0,1271.197,3000,6617.197,6.564044650091193,1.6082657397771931
ruf50-354,760.0,1419.104,3000,7899.104,6.709839442453744,1.5958021848598685
ruf50-91,590.0,1829.985,3000,12899.985,7.049384407789183,1.5168513524018035
ruf50-664,1000.0,156.702,3000,156.702,4.646512133545435,0.7611016902010791
ruf50-955,1000.0,219.539,3000,219.539,4.909155527364462,0.9079668925147654
ruf50-714,962.0,615.077,3000,1641.077,5.84622528935786,1.1939200406376556
ruf50-748,994.0,412.854,3000,574.854,5.429819455204019,1.2215361564540859
ruf50-263,826.0,1130.233,3000,5828.233,6.308811628870074,1.8345651766146946
ruf50-966,974.0,837.63,3000,1539.63,6.256249602303949,1.1640077871600054
ruf50-861,821.0,1110.022,3000,5943.022,6.429650444405208,1.3918098946639466
ruf50-7,903.0,1029.366,3000,3648.366,6.2804898113962295,1.7485790839864404
ruf50-3,992.0,503.102,3000,719.102,5.657973933242763,1.275982610311664
ruf50-805,979.0,669.114,3000,1236.114,5.993474052577234,1.1765444538036003
ruf50-785,996.0,354.12,3000,462.12,5.166048325531621,1.3233080968928195
ruf50-860,999.0,326.511,3000,353.511,5.17118579639217,1.2568007005871964
ruf50-399,1000.0,237.913,3000,237.913,5.01469881912304,0.9567396884329413
ruf50-190,999.0,320.634,3000,347.634,5.2073019826769835,1.141703777927043
ruf50-195,553.0,1899.628,3000,13968.628,7.001895470091861,1.9534462392712622
ruf50-618,708.0,1674.528,3000,9558.528,6.962208960207819,1.4485069289720567
ruf50-575,993.0,644.375,3000,833.375,5.98922369958074,1.1565561305210859
ruf50-800,1000.0,236.081,3000,236.081,5.071779127547496,0.817512987013215
ruf50-463,331.0,2385.393,3000,20448.393,7.54181286589936,0.8327728417936515
ruf50-214,361.0,2153.789,3000,19406.789,7.2153985505915355,1.6694074986784666
ruf50-170,995.0,402.669,3000,537.669,5.448189779738857,1.1597655417268167
ruf50-793,728.0,1505.811,3000,8849.811,6.854478898037404,1.3068951050512148
ruf50-769,991.0,459.64,3000,702.64,5.624470656406453,1.0867713888365056
ruf50-882,639.0,1884.968,3000,11631.968,7.234348238292598,0.9461249262640066
ruf50-390,998.0,263.232,3000,317.232,5.015623839485201,0.9939370448926842
ruf50-887,47.0,2869.567,3000,28600.567,7.852228350898988,0.5297978226675965
ruf50-387,915.0,849.176,3000,3144.176,5.997641290011052,1.8117142259676609
ruf50-311,835.0,1096.453,3000,5551.453,6.327880671080669,1.702917935673079
ruf50-2,860.0,911.661,3000,4691.661,6.003165107320999,1.9037931895485904
ruf50-687,996.0,465.27,3000,573.27,5.511672366016952,1.4479140061421398
ruf50-303,850.0,1257.045,3000,5307.045,6.627349025670932,1.404705441720823
ruf50-80,289.0,2437.775,3000,21634.775,7.547336540743785,0.9587521649342733
ruf50-634,1000.0,266.385,3000,266.385,5.113803005882017,0.9694518340738789
ruf50-690,1000.0,240.757,3000,240.757,5.099643076360379,0.8191450372455864
ruf50-83,817.0,1184.63,3000,6125.63,6.485828309265138,1.5204638105214487
ruf50-858,490.0,1904.984,3000,15674.984,7.053974943135642,1.610193264284384
ruf50-954,1000.0,264.416,3000,264.416,5.144629267307072,0.8698247064598328
ruf50-108,982.0,731.676,3000,1217.676,6.123533291649584,1.1191728015220064
ruf50-105,870.0,1083.516,3000,4593.516,6.442194485088597,1.371240619830079
ruf50-274,915.0,636.571,3000,2931.571,5.693789213424625,1.5255181720154005
ruf50-286,680.0,1546.221,3000,10186.221,6.658945210964473,2.1463087167087362
ruf50-69,994.0,565.125,3000,727.125,5.94185230370977,0.9076318594603321
ruf50-305,1000.0,251.06,3000,251.06,4.957997786641621,1.1180482885775456
ruf50-48,919.0,1001.923,3000,3188.923,6.355178530499405,1.3922910315848183
ruf50-958,992.0,450.634,3000,666.634,5.671050351831001,0.9307599421911479
ruf50-656,808.0,1553.141,3000,6737.141,7.024160990239403,0.9198720279644603
ruf50-796,947.0,1016.084,3000,2447.084,6.481948657985207,1.1122803874635712
ruf50-751,997.0,624.517,3000,705.517,6.108016025105826,0.7629532548164217
ruf50-587,816.0,1263.818,3000,6231.818,6.654995134877887,1.2503923597422397
ruf50-94,995.0,562.511,3000,697.511,5.817761636182839,1.177914026108079
ruf50-845,386.0,2297.721,3000,18875.721,7.471809242569605,0.9378017331102522
ruf50-380,976.0,589.802,3000,1237.802,5.717019313845771,1.434357747564046
ruf50-524,1000.0,205.223,3000,205.223,4.78923332606668,1.0315039969358921
ruf50-39,875.0,945.136,3000,4320.136,6.031353370224338,2.0027510115629323
ruf50-355,1000.0,209.362,3000,209.362,4.945382022242116,0.80313254003942
ruf50-33,573.0,1849.287,3000,13378.287,7.034171286681677,1.6481621125105805
ruf50-462,945.0,619.398,3000,2104.398,5.627523081426664,1.6273052401160941
ruf50-281,871.0,1033.773,3000,4516.773,6.260371298813756,1.6960682781815808
ruf50-719,784.0,1450.824,3000,7282.824,6.825767721714395,1.2931036047568791
ruf50-173,913.0,1141.176,3000,3490.176,6.535268245992667,1.4158256887018594
ruf50-74,869.0,1180.412,3000,4717.412,6.5185442219810685,1.5052538056895162
ruf50-883,866.0,726.43,3000,4344.43,5.431737217645404,2.4208668963632873
ruf50-503,858.0,1288.499,3000,5122.499,6.687102872549092,1.3105027771592381
ruf50-197,861.0,1147.466,3000,4900.466,6.38391981006714,1.8312280455998275
ruf50-313,876.0,823.158,3000,4171.158,5.7495473896900435,2.2186408778034665
ruf50-763,999.0,327.354,3000,354.354,5.2488796559001685,1.1328577986361426
ruf50-153,727.0,1546.021,3000,8917.021,6.901938150666864,1.2566614333385746
ruf50-655,544.0,2057.163,3000,14369.163,7.307136979075325,1.0526623593670434
ruf50-426,688.0,1634.382,3000,10058.382,6.931721313288904,1.3902102029832362
ruf50-658,846.0,1146.846,3000,5304.846,6.390353304045595,1.7866768169916496
ruf50-250,910.0,1055.162,3000,3485.162,6.336109853974818,1.6872721400930248
ruf50-315,875.0,1046.182,3000,4421.182,6.261208474158627,1.8074802033834922
ruf50-586,940.0,696.734,3000,2316.734,5.798335577579857,1.6845842664789128
ruf50-532,612.0,1819.432,3000,12295.432,7.049765882676681,1.4821872657950104
ruf50-509,759.0,1429.868,3000,7936.868,6.7833800000764874,1.3037895178356824
ruf50-67,874.0,1012.312,3000,4414.312,6.2053059805374895,1.85575531783414
ruf50-589,714.0,1359.807,3000,9081.807,6.446985078648392,2.173722839934817
ruf50-976,175.0,2623.182,3000,24898.182,7.674619600518417,0.8023370681003114
ruf50-985,721.0,1557.928,3000,9090.928,6.856211421961478,1.4621991010508957
ruf50-436,962.0,732.361,3000,1758.361,5.946877739071288,1.5280722876905413
ruf50-437,899.0,994.807,3000,3721.807,6.2993826832681385,1.4959917459130168
ruf50-415,963.0,547.633,3000,1546.633,5.524432282959867,1.5717607536545821
ruf50-102,990.0,361.177,3000,631.177,5.284562797891059,1.1531842406498507
ruf50-24,942.0,723.165,3000,2289.165,5.868731749130032,1.6722530339516501
ruf50-128,646.0,1811.04,3000,11369.04,7.102557672818266,1.2837336232103091
ruf50-293,1000.0,318.711,3000,318.711,5.307031278266813,1.0248350246161415
ruf50-106,781.0,1417.852,3000,7330.852,6.742169604931349,1.4638012373158256
ruf50-742,648.0,1738.3,3000,11242.3,6.998852501740814,1.4483395768656222
ruf50-419,1000.0,234.755,3000,234.755,5.010169909428822,0.8837157106273886
ruf50-401,615.0,1983.564,3000,12378.564,7.31797488231725,0.8480511341381246
ruf50-635,946.0,796.732,3000,2254.732,5.9788015408941755,1.70381114493897
ruf50-596,984.0,583.181,3000,1015.181,5.768396422557679,1.37017830345219
ruf50-295,623.0,1731.132,3000,11910.132,6.972737957978067,1.5237331612937046
ruf50-204,325.0,2369.013,3000,20594.013,7.504578855207254,0.9794617305983608
ruf50-478,542.0,2057.686,3000,14423.686,7.283893379051339,1.2159928672246203
ruf50-308,996.0,584.715,3000,692.715,5.946906045753738,0.9732033096103999
ruf50-930,998.0,267.776,3000,321.776,4.987118826315129,1.1251251570453433
ruf50-645,988.0,571.733,3000,895.733,5.772764881353028,1.3111947854425166
ruf50-96,770.0,1350.462,3000,7560.462,6.559903846255078,1.832593210637741
ruf50-450,1000.0,161.884,3000,161.884,4.673348339034359,0.780326305606348
ruf50-17,1000.0,200.068,3000,200.068,4.949235563324666,0.6938326059944905
ruf50-888,993.0,523.899,3000,712.899,5.611139343998691,1.4773756318315232
ruf50-494,998.0,293.027,3000,347.027,4.9976067931489165,1.2931384722154282
ruf50-911,1000.0,303.574,3000,303.574,5.22939306689145,1.016656923355239
ruf50-660,1000.0,114.596,3000,114.596,4.420825563885775,0.5949840759429349
ruf50-981,539.0,1941.691,3000,14388.691,7.10170825463941,1.6472022530823212
ruf50-571,931.0,927.145,3000,2790.145,6.282083233693806,1.3473134611678725
ruf50-116,941.0,961.857,3000,2554.857,6.377447953275516,1.2387434226573582
ruf50-771,991.0,514.468,3000,757.468,5.703099077942281,1.162465579429599
ruf50-64,1000.0,227.122,3000,227.122,4.917747337472815,1.0144567138102372
ruf50-472,847.0,1183.662,3000,5314.662,6.491132786141407,1.5689391166332525
ruf50-299,879.0,1157.694,3000,4424.694,6.476957274512253,1.5572276913874272
ruf50-943,1000.0,164.801,3000,164.801,4.749354025109446,0.7219831236629328
ruf50-413,999.0,346.048,3000,373.048,5.399916116290987,0.9031122516737367
ruf50-810,793.0,1524.91,3000,7113.91,6.936012553242592,1.1508171453518792
ruf50-168,987.0,451.937,3000,802.937,5.467069351126037,1.3196013014430323
ruf50-837,755.0,1540.089,3000,8155.089,6.840543864955415,1.5417455130808861
ruf50-115,942.0,709.464,3000,2275.464,5.7360780166102865,1.8993707752990832
ruf50-310,967.0,574.91,3000,1465.91,5.6482255172059075,1.5172145947851423
ruf50-14,927.0,747.793,3000,2718.793,5.8744942179417485,1.6740578347167712
ruf50-130,1000.0,244.525,3000,244.525,4.985530611589984,1.0387497691285694
ruf50-118,957.0,637.675,3000,1798.675,5.693562064623597,1.7177091132109539
ruf50-579,993.0,520.706,3000,709.706,5.66416466480253,1.3099494903013151
ruf50-455,961.0,688.593,3000,1741.593,5.93081191416316,1.3886177101770854
