inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf75-220,722.0,1771.687,3000,9277.687,7.227935449423365,0.6606184434435058
ruf75-812,982.0,736.162,3000,1222.162,6.225309604247799,0.7934793727310753
ruf75-575,1000.0,269.245,3000,269.245,5.3122826501783145,0.5547175578121218
ruf75-432,856.0,1270.089,3000,5158.089,6.713011807179981,1.0809407249878147
ruf75-159,388.0,2294.925,3000,18818.925,7.511638478251453,0.709794001435752
ruf75-849,995.0,712.845,3000,847.845,6.27804154787072,0.6366968253634083
ruf75-796,994.0,605.068,3000,767.068,6.013601314057479,0.8556692451979387
ruf75-461,279.0,2463.617,3000,21930.617,7.62021068771292,0.6336559817179622
ruf75-131,998.0,516.536,3000,570.536,5.891010299556661,0.7530612218102005
ruf75-370,999.0,569.626,3000,596.626,6.071200600920894,0.5801335199555682
ruf75-757,995.0,633.514,3000,768.514,6.125460655562616,0.7116972760168295
ruf75-206,486.0,2230.315,3000,16108.315,7.527519485613644,0.5399671637033362
ruf75-291,893.0,1094.447,3000,3983.447,6.6082270339709055,0.8879372052769949
ruf75-284,997.0,647.443,3000,728.443,6.148561435917104,0.699004046638872
ruf75-909,222.0,2572.606,3000,23578.606,7.681883420778275,0.6035086360727054
ruf75-235,1000.0,380.423,3000,380.423,5.659221690786519,0.5727850261381996
ruf75-993,994.0,511.903,3000,673.903,5.8534101035918145,0.7570144491131633
ruf75-864,857.0,1431.804,3000,5292.804,6.982348745206367,0.7038441250137507
ruf75-846,1000.0,384.073,3000,384.073,5.615172640659019,0.6940687119913485
ruf75-858,943.0,1058.015,3000,2597.015,6.6168113650010625,0.8081829286324282
ruf75-519,588.0,2102.236,3000,13226.236,7.462458131998551,0.5323612696320322
ruf75-334,495.0,2165.794,3000,15800.794,7.4436610792431885,0.7202936875427333
ruf75-447,1000.0,268.022,3000,268.022,5.355065814078175,0.4688930204205875
ruf75-472,648.0,1721.749,3000,11225.749,7.056589951637079,1.1190059295530046
ruf75-213,945.0,860.735,3000,2345.735,6.259726223261483,1.1227125477253388
ruf75-373,420.0,2282.552,3000,17942.552,7.495417557217816,0.7667799077722489
ruf75-470,993.0,592.014,3000,781.014,6.042957027335397,0.7074184151592444
ruf75-535,1000.0,255.083,3000,255.083,5.280556490742804,0.4949269225753925
ruf75-480,968.0,930.072,3000,1794.072,6.490598326506873,0.7820191218089942
ruf75-869,845.0,1489.937,3000,5674.937,7.010746616039123,0.7575973756875172
ruf75-963,265.0,2629.166,3000,22474.166,7.779121102302356,0.31028732161295713
ruf75-805,505.0,2178.091,3000,15543.091,7.463275487987697,0.6748623823786545
ruf75-227,809.0,1582.224,3000,6739.224,7.086300140155865,0.7192933616454363
ruf75-458,973.0,919.247,3000,1648.247,6.503931176993996,0.7087520991026672
ruf75-357,994.0,498.536,3000,660.536,5.810416836652932,0.8371841067235565
ruf75-107,791.0,1575.609,3000,7218.609,7.046850277117708,0.8310774090459464
ruf75-356,1000.0,235.094,3000,235.094,5.1927061227704625,0.5091544779522993
ruf75-195,941.0,951.891,3000,2544.891,6.46362739641956,0.8739622791480944
ruf75-405,1000.0,322.343,3000,322.343,5.430603035387485,0.6697834964810855
ruf75-885,999.0,479.101,3000,506.101,5.852957693868062,0.6597480771203988
ruf75-41,992.0,710.775,3000,926.775,6.20483163720068,0.8094242973701327
ruf75-636,509.0,2054.856,3000,15311.856,7.3547410751374125,0.791542724531712
ruf75-348,905.0,1003.958,3000,3568.958,6.424061861246929,1.0969888113030162
ruf75-123,991.0,596.545,3000,839.545,6.000601640366282,0.8060077178986813
ruf75-890,448.0,2082.052,3000,16986.052,7.322092138846887,0.9548842281432238
ruf75-894,998.0,454.247,3000,508.247,5.769438160599485,0.7099054382380582
ruf75-778,994.0,618.056,3000,780.056,6.056242950841453,0.7790394830748241
ruf75-293,605.0,1989.945,3000,12654.945,7.362310984877553,0.6523901899859755
ruf75-240,996.0,612.512,3000,720.512,6.056886609441627,0.7961236154144299
ruf75-138,906.0,955.518,3000,3493.518,6.363532283771631,1.0970081715371474
ruf75-267,995.0,635.708,3000,770.708,6.113275793328174,0.7360587639462798
ruf75-539,1000.0,455.372,3000,455.372,5.698929424904421,0.8585513395844765
ruf75-962,944.0,1000.709,3000,2512.709,6.527705923266649,0.8442862910044729
ruf75-939,801.0,1490.534,3000,6863.534,6.945596543054524,0.9513870573374589
ruf75-744,822.0,1411.815,3000,6217.815,6.888877726092751,0.9244133613403738
ruf75-453,914.0,1137.426,3000,3459.426,6.647748364498269,0.9181826299145888
ruf75-583,1000.0,387.091,3000,387.091,5.698686092866513,0.5376807553551425
ruf75-800,1000.0,528.125,3000,528.125,5.975648633426462,0.6282278577468382
ruf75-286,387.0,2331.949,3000,18882.949,7.545850003437186,0.6701807389533143
ruf75-701,997.0,501.814,3000,582.814,5.920797377217959,0.6183365305355979
ruf75-383,999.0,451.108,3000,478.108,5.810439623529136,0.5998496297294122
ruf75-561,718.0,1770.009,3000,9384.009,7.21403408242375,0.7140065996572784
ruf75-777,922.0,1109.448,3000,3215.448,6.656228217418362,0.8253451694949973
ruf75-117,989.0,768.372,3000,1065.372,6.257561299212026,0.8631718046109403
ruf75-578,899.0,1032.339,3000,3759.339,6.512396941240583,0.9670401472257153
ruf75-168,999.0,625.816,3000,652.816,6.1688512490737875,0.561394338860768
ruf75-695,955.0,1034.948,3000,2249.948,6.607195302892799,0.7761917503137392
ruf75-244,946.0,1048.218,3000,2506.218,6.615726080538973,0.7789210096213202
ruf75-716,997.0,535.906,3000,616.906,5.912480482364153,0.7748314712058945
ruf75-976,825.0,1278.587,3000,6003.587,6.720699047909667,1.0292364472929763
ruf75-884,996.0,554.308,3000,662.308,5.952212380980768,0.7811468689361832
ruf75-871,942.0,940.758,3000,2506.758,6.426005740480078,0.9551156833041755
ruf75-775,1000.0,245.504,3000,245.504,5.222978966085249,0.5192212610327205
ruf75-176,953.0,1092.309,3000,2361.309,6.705524906881395,0.6671899577221984
ruf75-793,654.0,1747.497,3000,11089.497,7.073049689019674,1.1389675934727168
ruf75-912,1000.0,292.268,3000,292.268,5.430648366037852,0.4808519378905278
ruf75-973,991.0,708.449,3000,951.449,6.186709862611961,0.8068145855029587
ruf75-345,1000.0,368.395,3000,368.395,5.568482463028847,0.6760940278431352
ruf75-178,445.0,2214.494,3000,17199.494,7.477525939997815,0.6721387356909059
ruf75-333,894.0,1233.558,3000,4095.558,6.729812995090671,0.9679010080628172
ruf75-595,996.0,459.324,3000,567.324,5.771033437324112,0.717620717791365
ruf75-12,959.0,927.428,3000,2034.428,6.488417305210912,0.7695583189330053
ruf75-533,957.0,946.41,3000,2107.41,6.457453790022646,0.9197863646960674
ruf75-292,765.0,1560.252,3000,7905.252,6.997731223917184,0.9248932943725721
ruf75-836,454.0,2128.88,3000,16870.88,7.36795853543559,0.9061076114998692
