inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf75-343,301.0,2571.182,3000,21444.182,7.750580078788795,0.3226314932423742
ruf75-873,239.0,2622.004,3000,23169.004,7.753140429212132,0.41148905835553
ruf75-165,687.0,1596.766,3000,10047.766,6.912264445509967,1.295307771445005
ruf75-889,976.0,651.098,3000,1299.098,6.0057773080631325,0.9699252927797657
ruf75-711,418.0,2376.785,3000,18090.785,7.636431363662846,0.40725505114451244
ruf75-332,782.0,1298.173,3000,7184.173,6.65764833274154,1.2815962726463246
ruf75-443,943.0,727.556,3000,2266.556,6.023169607516551,1.1748551982601922
ruf75-677,989.0,440.832,3000,737.832,5.551577222806885,1.0267520923110562
ruf75-693,600.0,1926.446,3000,12726.446,7.246684863776553,0.9561525775188316
ruf75-956,781.0,1212.852,3000,7125.852,6.554326550279754,1.3125976274332412
ruf75-341,924.0,755.061,3000,2807.061,6.0135917215205605,1.2599217640696243
ruf75-994,582.0,1900.293,3000,13186.293,7.214803866126673,1.0000479042438508
ruf75-184,628.0,1900.306,3000,11944.306,7.260103568093443,0.8363453703808088
ruf75-431,661.0,1642.474,3000,10795.474,6.913288401951543,1.436255868628702
ruf75-268,310.0,2565.095,3000,21195.095,7.741335918724427,0.3505042929756619
ruf75-74,998.0,401.401,3000,455.401,5.6163117110854754,0.7501806731917727
ruf75-656,364.0,2369.978,3000,19541.978,7.580805339067102,0.6078344075091396
ruf75-722,581.0,1889.794,3000,13202.794,7.174402096600988,1.1076190631696679
ruf75-350,741.0,1485.895,3000,8478.895,6.891969242786611,1.0827312261497732
ruf75-510,292.0,2540.446,3000,21656.446,7.710589313239598,0.41122817035965986
ruf75-34,856.0,1143.902,3000,5031.902,6.53199751156187,1.250336594229084
ruf75-140,967.0,832.622,3000,1723.622,6.2616521761114186,1.0695960830424849
ruf75-801,765.0,1414.728,3000,7759.728,6.780243377910341,1.2529112318282034
ruf75-547,900.0,769.336,3000,3469.336,5.964605842994913,1.3975699619562152
ruf75-699,626.0,1826.034,3000,11924.034,7.168618030181379,0.9685208850646078
ruf75-352,786.0,1370.325,3000,7148.325,6.709776463633391,1.365336283162962
ruf75-33,784.0,1485.619,3000,7317.619,6.95086939507412,0.9145715142824355
ruf75-875,922.0,897.034,3000,3003.034,6.292351082013239,1.1321898546246651
ruf75-391,857.0,1010.421,3000,4871.421,6.341527418283499,1.3405455071453067
ruf75-290,627.0,1716.208,3000,11787.208,6.991247763894339,1.3375979050031503
ruf75-797,890.0,919.285,3000,3889.285,6.228073621072574,1.3451422922107044
ruf75-509,935.0,972.022,3000,2727.022,6.452522088701636,0.9659873858837381
ruf75-353,479.0,2026.515,3000,16093.515,7.258504996174651,1.100732033982464
ruf75-411,604.0,1834.463,3000,12526.463,7.175181791436422,0.9755658347509765
ruf75-838,889.0,1161.765,3000,4158.765,6.705819134581373,0.8167660539019379
ruf75-275,871.0,944.699,3000,4427.699,6.2925702245498885,1.2007796478936315
ruf75-153,414.0,2338.198,3000,18160.198,7.573948538121506,0.5760792767543541
ruf75-790,903.0,1088.074,3000,3707.074,6.572602854375541,0.9969670890708133
ruf75-201,978.0,483.667,3000,1077.667,5.6205751666135235,1.101049318235573
ruf75-979,665.0,1624.331,3000,10669.331,6.9102351342895805,1.3459617959485242
