inst,succ,steps,max_iter,awg fined,mu,sig^2
ruf20-755,1000.0,178.992,,178.992,4.582922622480634,1.478038910874516
ruf20-463,1000.0,159.289,,159.289,4.478093194503331,1.390474607756796
ruf20-549,1000.0,43.133,,43.133,3.401366065402341,0.6872048842805358
ruf20-815,1000.0,43.153,,43.153,3.45247480897316,0.6572596024011323
ruf20-52,1000.0,40.515,,40.515,3.400565312687349,0.6266410446054244
ruf20-607,1000.0,176.684,,176.684,4.5898992849464415,1.4354713692192365
ruf20-781,1000.0,53.542,,53.542,3.723646223302481,0.5645179865586262
ruf20-77,1000.0,61.359,,61.359,3.7254496965309434,0.8096504936297549
ruf20-920,1000.0,36.926,,36.926,3.2409630763457242,0.7389110981727446
ruf20-680,1000.0,48.839,,48.839,3.512990893955814,0.7843968173084149
ruf20-327,1000.0,280.594,,280.594,4.816271364674515,2.0452494556146537
ruf20-693,1000.0,162.071,,162.071,4.452113270240602,1.4517081161203091
ruf20-255,1000.0,88.705,,88.705,4.084961602125436,0.8851861343929838
ruf20-960,1000.0,133.723,,133.723,4.445618757116824,1.1058379896979957
ruf20-595,1000.0,41.745,,41.745,3.36796860486665,0.7599144821464394
ruf20-679,1000.0,68.649,,68.649,3.606201557629003,1.2349194897658347
ruf20-503,1000.0,102.461,,102.461,4.112997399264901,1.1692496461233663
ruf20-577,999.0,405.539,,432.539,5.281169022444513,1.9980616067030759
ruf20-544,1000.0,127.029,,127.029,4.422745431824714,1.0038901272375733
ruf20-103,1000.0,123.207,,123.207,4.4094469818189275,0.9258888856128393
ruf20-858,1000.0,24.447,,24.447,2.919993536908915,0.5353222256554467
ruf20-982,1000.0,37.302,,37.302,3.294944259983784,0.6923869433982004
ruf20-161,1000.0,42.561,,42.561,3.368138332543883,0.7912004561460239
ruf20-43,1000.0,50.344,,50.344,3.4711852256168663,0.9521125878219947
ruf20-123,1000.0,32.585,,32.585,3.210614291913452,0.5457486417727831
ruf20-994,1000.0,54.53,,54.53,3.6820356984284057,0.6587587905963149
ruf20-197,1000.0,28.483,,28.483,3.0883084011738697,0.5203167824062365
ruf20-126,1000.0,21.474,,21.474,2.8420863405602623,0.4594261938067993
ruf20-135,1000.0,36.231,,36.231,3.2946438079845075,0.602503831474831
ruf20-441,1000.0,71.152,,71.152,3.8599591277806975,0.8920215834702548
ruf20-586,1000.0,106.896,,106.896,4.063484700125698,1.3458986411963763
ruf20-536,1000.0,39.59,,39.59,3.389996339090452,0.6284330197368634
ruf20-850,1000.0,100.955,,100.955,3.9500986454783638,1.4920113752460882
ruf20-425,1000.0,27.781,,27.781,3.040758469237247,0.5692515854898368
ruf20-274,1000.0,76.174,,76.174,3.916819842193881,0.9040301452327483
ruf20-1000,1000.0,51.244,,51.244,3.4490965619608285,1.0057136233505204
ruf20-703,1000.0,43.107,,43.107,3.3960016781661637,0.7183206929757671
ruf20-890,1000.0,36.7,,36.7,3.37468684795587,0.4933110694998433
ruf20-228,1000.0,111.798,,111.798,4.279234464666528,1.0212298695009356
ruf20-983,1000.0,93.785,,93.785,4.005689321844048,1.1933166001646347
ruf20-207,999.0,480.206,,507.206,5.389107806420358,2.219852838176974
ruf20-727,1000.0,64.207,,64.207,3.7496142731754447,0.9019604035397398
ruf20-677,1000.0,31.884,,31.884,3.148653157072799,0.6395589251543594
ruf20-814,1000.0,80.231,,80.231,4.052417397542468,0.7402720160869497
ruf20-426,1000.0,71.699,,71.699,3.864502769487041,0.8541580295168247
ruf20-324,1000.0,49.934,,49.934,3.5225376357341753,0.8247445886864947
ruf20-371,1000.0,85.901,,85.901,3.9842839086924458,0.9882499259229275
ruf20-558,1000.0,67.192,,67.192,3.8435757879843866,0.7785830973664547
ruf20-307,1000.0,65.614,,65.614,3.7105452970487423,0.9916247553164717
ruf20-438,1000.0,94.822,,94.822,4.08693330180838,0.9959504287307969
ruf20-714,1000.0,61.479,,61.479,3.738668036222144,0.8160397286382649
ruf20-984,1000.0,42.645,,42.645,3.2795908342634514,0.8888258869890358
ruf20-147,1000.0,16.634,,16.634,2.62714567528549,0.3743577781625438
ruf20-174,1000.0,32.71,,32.71,3.2913548204112297,0.4216921687801981
ruf20-341,1000.0,48.743,,48.743,3.429800467665369,0.9091452363027981
ruf20-288,1000.0,30.434,,30.434,3.142898400071055,0.5411611276207865
ruf20-715,1000.0,90.551,,90.551,3.9214822073233386,1.2988617008130443
